State,Cases,Year
MARYLAND,4.0,2018
INDIANA,3.0,2018
UTAH,4.0,2018
NORTH DAKOTA,1.0,2018
OREGON,11.0,2018
NEBRASKA,4.0,2018
CALIFORNIA,5503.0,2018
OHIO,21.0,2018
ARKANSAS,4.0,2018
NEW HAMPSHIRE,1.0,2018
WYOMING,1.0,2018
RHODE ISLAND,4.0,2018
NEW MEXICO,39.0,2018
NEVADA,20.0,2018
MISSOURI,26.0,2018
S. ATLANTIC,4.0,2018
MINNESOTA,40.0,2018
ARIZONA,6726.0,2018
OHIO,21.0,2018
WYOMING,1.0,2018
RHODE ISLAND,4.0,2018
CALIFORNIA,5568.0,2018
NEVADA,20.0,2018
S. ATLANTIC,4.0,2018
NORTH DAKOTA,1.0,2018
NEBRASKA,4.0,2018
MONTANA,22.0,2018
NEW MEXICO,40.0,2018
UTAH,4.0,2018
MICHIGAN,28.0,2018
INDIANA,3.0,2018
LOUISIANA,10.0,2018
OREGON,11.0,2018
WISCONSIN,11.0,2018
MISSOURI,26.0,2018
ARKANSAS,4.0,2018
NEW HAMPSHIRE,1.0,2018
MARYLAND,4.0,2018
ARKANSAS,4.0,2018
NEVADA,20.0,2018
OHIO,21.0,2018
NEBRASKA,4.0,2018
MISSOURI,26.0,2018
NEW MEXICO,40.0,2018
MINNESOTA,40.0,2018
ARIZONA,6726.0,2018
INDIANA,3.0,2018
UTAH,4.0,2018
S. ATLANTIC,4.0,2018
LOUISIANA,10.0,2018
NEW HAMPSHIRE,1.0,2018
MONTANA,22.0,2018
RHODE ISLAND,4.0,2018
WISCONSIN,12.0,2018
MARYLAND,4.0,2018
CALIFORNIA,5688.0,2018
RHODE ISLAND,4.0,2018
NEVADA,20.0,2018
OREGON,11.0,2018
CALIFORNIA,5889.0,2018
MINNESOTA,40.0,2018
MARYLAND,4.0,2018
NEW MEXICO,43.0,2018
MONTANA,22.0,2018
UTAH,4.0,2018
NORTH DAKOTA,1.0,2018
OHIO,21.0,2018
ARKANSAS,4.0,2018
ARIZONA,7052.0,2018
LOUISIANA,10.0,2018
MISSOURI,26.0,2018
NEBRASKA,4.0,2018
S. ATLANTIC,4.0,2018
NEW HAMPSHIRE,1.0,2018
MICHIGAN,29.0,2018
WISCONSIN,12.0,2018
WYOMING,1.0,2018
INDIANA,3.0,2018
RHODE ISLAND,4.0,2018
INDIANA,3.0,2018
CALIFORNIA,6051.0,2018
WYOMING,1.0,2018
OHIO,21.0,2018
S. ATLANTIC,4.0,2018
UTAH,4.0,2018
MISSOURI,26.0,2018
MICHIGAN,30.0,2018
MARYLAND,4.0,2018
NEVADA,20.0,2018
NEW HAMPSHIRE,1.0,2018
NEW MEXICO,43.0,2018
ARIZONA,7256.0,2018
WISCONSIN,12.0,2018
MONTANA,22.0,2018
NORTH DAKOTA,1.0,2018
ARKANSAS,4.0,2018
LOUISIANA,10.0,2018
OREGON,11.0,2018
MINNESOTA,40.0,2018
NEBRASKA,4.0,2018
NEW HAMPSHIRE,1.0,2018
WISCONSIN,12.0,2018
CALIFORNIA,6312.0,2018
ARKANSAS,4.0,2018
NEW MEXICO,49.0,2018
RHODE ISLAND,4.0,2018
MISSOURI,26.0,2018
ARIZONA,7444.0,2018
MICHIGAN,31.0,2018
NORTH DAKOTA,1.0,2018
NEBRASKA,4.0,2018
INDIANA,3.0,2018
OHIO,21.0,2018
MARYLAND,4.0,2018
UTAH,4.0,2018
MINNESOTA,40.0,2018
MONTANA,22.0,2018
OREGON,12.0,2018
S. ATLANTIC,4.0,2018
LOUISIANA,10.0,2018
WYOMING,1.0,2018
NEVADA,21.0,2018
MICHIGAN,29.0,2018
MONTANA,26.0,2018
NORTH DAKOTA,1.0,2018
LOUISIANA,10.0,2018
OHIO,21.0,2018
MARYLAND,4.0,2018
UTAH,4.0,2018
WISCONSIN,18.0,2018
ARIZONA,7501.0,2018
CALIFORNIA,6448.0,2018
RHODE ISLAND,4.0,2018
OREGON,13.0,2018
NEBRASKA,4.0,2018
NEVADA,23.0,2018
ARKANSAS,4.0,2018
WYOMING,1.0,2018
NEW HAMPSHIRE,1.0,2018
MISSOURI,26.0,2018
NEW MEXICO,50.0,2018
INDIANA,3.0,2018
S. ATLANTIC,4.0,2018
MINNESOTA,40.0,2018
NEW MEXICO,50.0,2018
NEW HAMPSHIRE,1.0,2018
MINNESOTA,40.0,2018
NEBRASKA,5.0,2018
WYOMING,1.0,2018
ARIZONA,7572.0,2018
NORTH DAKOTA,1.0,2018
UTAH,4.0,2018
OREGON,13.0,2018
MISSOURI,26.0,2018
LOUISIANA,10.0,2018
ARKANSAS,4.0,2018
MICHIGAN,29.0,2018
CALIFORNIA,6534.0,2018
S. ATLANTIC,4.0,2018
NEVADA,23.0,2018
OHIO,21.0,2018
INDIANA,3.0,2018
RHODE ISLAND,4.0,2018
MARYLAND,4.0,2018
MONTANA,26.0,2018
WISCONSIN,19.0,2018
ARIZONA,69.0,2019
CALIFORNIA,9.0,2019
ARIZONA,330.0,2019
CALIFORNIA,52.0,2019
ARIZONA,337.0,2019
CALIFORNIA,82.0,2019
MISSOURI,1.0,2019
NEVADA,1.0,2019
CALIFORNIA,138.0,2019
OHIO,1.0,2019
ARIZONA,764.0,2019
OHIO,1.0,2019
NEVADA,1.0,2019
CALIFORNIA,248.0,2019
MISSOURI,1.0,2019
NEW MEXICO,2.0,2019
ARIZONA,1058.0,2019
NEVADA,3.0,2019
OREGON,1.0,2019
MICHIGAN,1.0,2019
CALIFORNIA,301.0,2019
NEW MEXICO,3.0,2019
OHIO,1.0,2019
MISSOURI,3.0,2019
ARIZONA,1269.0,2019
MICHIGAN,1.0,2019
NEW MEXICO,5.0,2019
MISSOURI,3.0,2019
OREGON,1.0,2019
CALIFORNIA,406.0,2019
NEVADA,3.0,2019
OHIO,1.0,2019
MONTANA,1.0,2019
ARIZONA,1335.0,2019
MONTANA,1.0,2019
ARKANSAS,2.0,2019
MICHIGAN,1.0,2019
ARIZONA,1646.0,2019
MISSOURI,3.0,2019
NEVADA,3.0,2019
NEW MEXICO,6.0,2019
OHIO,1.0,2019
WEST SOUTH CENTRAL,2.0,2019
OREGON,1.0,2019
CALIFORNIA,515.0,2019
NEVADA,3.0,2019
OHIO,2.0,2019
MONTANA,1.0,2019
MISSOURI,3.0,2019
OREGON,1.0,2019
ARKANSAS,2.0,2019
WEST SOUTH CENTRAL,2.0,2019
NEW MEXICO,7.0,2019
ARIZONA,1859.0,2019
MICHIGAN,1.0,2019
CALIFORNIA,657.0,2019
OHIO,2.0,2019
CALIFORNIA,761.0,2019
WEST SOUTH CENTRAL,2.0,2019
ARIZONA,2044.0,2019
MISSOURI,3.0,2019
MONTANA,1.0,2019
ARKANSAS,2.0,2019
OREGON,1.0,2019
NEW MEXICO,7.0,2019
MICHIGAN,2.0,2019
NEVADA,15.0,2019
NEW MEXICO,7.0,2019
ARIZONA,2191.0,2019
MISSOURI,4.0,2019
MICHIGAN,2.0,2019
ARKANSAS,2.0,2019
MONTANA,2.0,2019
CALIFORNIA,892.0,2019
NEVADA,15.0,2019
OREGON,1.0,2019
WEST SOUTH CENTRAL,2.0,2019
OHIO,3.0,2019
OREGON,1.0,2019
MONTANA,2.0,2019
WEST SOUTH CENTRAL,3.0,2019
OHIO,3.0,2019
NEVADA,15.0,2019
LOUISIANA,1.0,2019
ARKANSAS,2.0,2019
MICHIGAN,2.0,2019
CALIFORNIA,1058.0,2019
NEW MEXICO,7.0,2019
ARIZONA,2378.0,2019
MISSOURI,4.0,2019
NEW MEXICO,7.0,2019
LOUISIANA,1.0,2019
ARKANSAS,2.0,2019
CALIFORNIA,1072.0,2019
MICHIGAN,2.0,2019
WEST SOUTH CENTRAL,3.0,2019
ARIZONA,2294.0,2019
MISSOURI,4.0,2019
OHIO,5.0,2019
MONTANA,2.0,2019
NEVADA,15.0,2019
OREGON,1.0,2019
ARKANSAS,2.0,2019
MONTANA,2.0,2019
MISSOURI,5.0,2019
CALIFORNIA,1105.0,2019
NEVADA,19.0,2019
ARIZONA,2294.0,2019
WEST SOUTH CENTRAL,3.0,2019
OHIO,5.0,2019
MARYLAND,2.0,2019
LOUISIANA,1.0,2019
NEW MEXICO,7.0,2019
OREGON,1.0,2019
MICHIGAN,2.0,2019
MONTANA,2.0,2019
ARIZONA,2820.0,2019
NEW MEXICO,7.0,2019
LOUISIANA,1.0,2019
CALIFORNIA,1632.0,2019
MICHIGAN,2.0,2019
MARYLAND,2.0,2019
NEVADA,20.0,2019
OREGON,1.0,2019
OHIO,6.0,2019
WEST SOUTH CENTRAL,3.0,2019
MISSOURI,5.0,2019
ARKANSAS,2.0,2019
CALIFORNIA,1839.0,2019
WEST SOUTH CENTRAL,4.0,2019
MONTANA,2.0,2019
MICHIGAN,2.0,2019
OHIO,6.0,2019
NEVADA,20.0,2019
ARKANSAS,3.0,2019
MARYLAND,2.0,2019
MISSOURI,6.0,2019
NEW MEXICO,7.0,2019
OREGON,1.0,2019
LOUISIANA,1.0,2019
ARIZONA,3000.0,2019
NEW MEXICO,7.0,2019
OREGON,1.0,2019
NEVADA,25.0,2019
OHIO,6.0,2019
MARYLAND,2.0,2019
MICHIGAN,2.0,2019
ARKANSAS,3.0,2019
LOUISIANA,1.0,2019
WEST SOUTH CENTRAL,4.0,2019
ARIZONA,3083.0,2019
MONTANA,4.0,2019
MISSOURI,7.0,2019
CALIFORNIA,1967.0,2019
MONTANA,4.0,2019
OREGON,1.0,2019
NEVADA,27.0,2019
EAST SOUTH CENTRAL,1.0,2019
MISSOURI,7.0,2019
KENTUCKY,1.0,2019
ARIZONA,3282.0,2019
LOUISIANA,1.0,2019
MARYLAND,3.0,2019
NEW MEXICO,7.0,2019
NEBRASKA,1.0,2019
MICHIGAN,2.0,2019
CALIFORNIA,2157.0,2019
OHIO,6.0,2019
WEST SOUTH CENTRAL,4.0,2019
ARKANSAS,3.0,2019
EAST SOUTH CENTRAL,1.0,2019
CALIFORNIA,2284.0,2019
MISSOURI,7.0,2019
NEBRASKA,1.0,2019
NEW MEXICO,7.0,2019
NEVADA,27.0,2019
MARYLAND,3.0,2019
WEST SOUTH CENTRAL,4.0,2019
OHIO,7.0,2019
OREGON,1.0,2019
MICHIGAN,3.0,2019
LOUISIANA,1.0,2019
ARKANSAS,3.0,2019
KENTUCKY,1.0,2019
ARIZONA,3458.0,2019
MONTANA,5.0,2019
MICHIGAN,5.0,2019
WEST SOUTH CENTRAL,5.0,2019
MISSOURI,7.0,2019
CALIFORNIA,2522.0,2019
OREGON,1.0,2019
MONTANA,5.0,2019
LOUISIANA,1.0,2019
EAST SOUTH CENTRAL,1.0,2019
MARYLAND,3.0,2019
OHIO,7.0,2019
KENTUCKY,1.0,2019
NEW MEXICO,7.0,2019
NEBRASKA,1.0,2019
ARIZONA,3458.0,2019
ARKANSAS,4.0,2019
NEVADA,30.0,2019
ARIZONA,3788.0,2019
CALIFORNIA,2705.0,2019
NEBRASKA,1.0,2019
NEVADA,31.0,2019
MISSOURI,8.0,2019
MONTANA,3.0,2019
KENTUCKY,1.0,2019
LOUISIANA,1.0,2019
NEW MEXICO,7.0,2019
MICHIGAN,6.0,2019
MARYLAND,4.0,2019
OREGON,1.0,2019
ARKANSAS,5.0,2019
OHIO,7.0,2019
WEST SOUTH CENTRAL,6.0,2019
EAST SOUTH CENTRAL,1.0,2019
